Appointment Year,Semester,Stipend Type,Account,OBJ,School Name,PID,Program Code,Program Name,Work Hours,Fall Offer Amount
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100870214,PH2517,Biological Sciences,15,7621
2021,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100870647,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100885110,PH2517,Biological Sciences,15,7621
2021,FALL,RA,10-100000-250310-0000-20-706110,706110,Arts & Sciences,P100898027,PH2517,Biological Sciences,1,924
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100898027,PH2517,Biological Sciences,15,7621
2021,FALL,RA,11643-21-1135876-706110,706110,Arts & Sciences,P100911158,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100912080,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100912433,PH2517,Biological Sciences,15,8545
2021,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100912756,PH2517,Biological Sciences,15,8545
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100912808,MS2517,Biological Sciences,15,6012
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100912818,PH2517,Biological Sciences,15,7621
2021,FALL,RA,12559-05-4530026-706110,706110,Arts & Sciences,P100912827,MS2517,Biological Sciences,15,6012
2021,FALL,RA,15989-19-1135421-706110,706110,Arts & Sciences,P100918652,PH2517,Biological Sciences,15,7621
2021,FALL,RA,11286-19-1535463-706110,706110,Arts & Sciences,P100921034,MS2517,Biological Sciences,15,6012
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100945352,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100947724,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100950652,PH2517,Biological Sciences,15,7621
2021,FALL,RA,15958-20-1135405-706110,706110,Arts & Sciences,P100953297,MS2517,Biological Sciences,15,6012
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100953464,MS2517,Biological Sciences,15,6012
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100989326,PH2517,Biological Sciences,15,7621
2021,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100990929,MS2517,Biological Sciences,15,6012
2022,FALL,RA,15182-21-1135871-706110,706110,Arts & Sciences,P001107695,PH2517,Biological Sciences,15,7621
2022,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100137815,MS2517,Biological Sciences,15,6012
2022,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100157646,MS2517,Biological Sciences,15,6012
2022,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100231805,MS2517,Biological Sciences,15,6012
2022,FALL,TA,10-100000-100070-1277-10-706110,706110,Arts & Sciences,P100238699,MS2517,Biological Sciences,15,6012
2022,FALL,RA,10-100000-250310-0000-20-706110,706110,Arts & Sciences,P100264079,PH2517,Biological Sciences,15,8909
2022,FALL,TA,10-100000-250310-0000-10-706110,706110,Arts & Sciences,P100270257,PH2517,Biological Sciences,15,8909
